Date,Client Type,Future Index Long,Future Index Short
2026-08-28,Client,240128,63169
2026-08-28,DII,43377,23164
2026-08-28,FII,24157,226790
2026-08-28,Pro,41362,35901
2026-08-31,Client,243172,64953
2026-08-31,DII,43452,23164
2026-08-31,FII,24195,233510
2026-08-31,Pro,44539,33731
2026-09-01,Client,251892,64762
2026-09-01,DII,43641,23164
2026-09-01,FII,24718,246750
2026-09-01,Pro,44427,30002
2026-09-02,Client,260288,60218
2026-09-02,DII,42113,28846
2026-09-02,FII,28537,257700
2026-09-02,Pro,46234,30408
2026-09-04,Client,261701,51859
2026-09-04,DII,42445,31076
2026-09-04,FII,33689,269527
2026-09-04,Pro,46273,31646
2026-09-08,Client,276494,50856
2026-09-08,DII,43447,32175
2026-09-08,FII,37183,298740
2026-09-08,Pro,54219,29572
2026-09-09,Client,283444,52964
2026-09-09,DII,43738,29127
2026-09-09,FII,39027,315277
2026-09-09,Pro,63306,32147
2026-09-10,Client,286829,55858
2026-09-10,DII,43284,28392
2026-09-10,FII,39694,321538
2026-09-10,Pro,66741,30760
2026-09-11,Client,286353,54865
2026-09-11,DII,43743,29395
2026-09-11,FII,41252,326134
2026-09-11,Pro,66613,27567
2026-09-15,Client,292649,53186
2026-09-15,DII,43240,29518
2026-09-15,FII,46258,337310
2026-09-15,Pro,68738,30871
2026-09-16,Client,289936,56634
2026-09-16,DII,40557,28011
2026-09-16,FII,47446,335549
2026-09-16,Pro,72202,29947
2026-09-17,Client,295116,56168
2026-09-17,DII,40622,27764
2026-09-17,FII,47548,337589
2026-09-17,Pro,68177,29942
2026-09-18,Client,297981,56561
2026-09-18,DII,40741,27774
2026-09-18,FII,48406,336834
2026-09-18,Pro,64601,30560
2026-09-21,Client,297064,55345
2026-09-21,DII,40954,27774
2026-09-21,FII,47731,338277
2026-09-21,Pro,64099,28452
2026-09-22,Client,300851,55140
2026-09-22,DII,40955,27774
2026-09-22,FII,40257,343165
2026-09-22,Pro,70336,26320
